2026-05-14 11:57:43,775 - main - INFO - === Logging system initialized ===
2026-05-14 11:57:43,776 - main - INFO - Log file: logs/app_20260514_115743.log
2026-05-14 11:57:43,777 - main - INFO - Log level: INFO
2026-05-14 11:57:43,777 - main - INFO - Timestamp: 20260514_115743
2026-05-14 11:57:44,803 - main - INFO - Included router: routers.aihub.router
2026-05-14 11:57:44,826 - main - INFO - Included router: routers.auth.router
2026-05-14 11:57:44,895 - main - INFO - Included router: routers.diagnostic_reports.router
2026-05-14 11:57:44,942 - main - INFO - Included router: routers.favorite_nodes.router
2026-05-14 11:57:44,945 - main - INFO - Included router: routers.health.router
2026-05-14 11:57:44,972 - main - INFO - Included router: routers.settings.router
2026-05-14 11:57:45,015 - main - INFO - Included router: routers.storage.router
2026-05-14 11:57:45,092 - main - INFO - Included router: routers.subscription_plans.router
2026-05-14 11:57:45,103 - main - INFO - Included router: routers.user.router
2026-05-14 11:57:45,152 - main - INFO - Included router: routers.user_subscriptions.router
2026-05-14 11:57:45,196 - main - INFO - Included router: routers.vpn_nodes.router
2026-05-14 11:58:05,619 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:05,970 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:06,320 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:06,672 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:07,023 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:07,374 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:07,724 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:08,075 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:08,426 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:08,777 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:09,128 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:09,479 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:09,830 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:10,181 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:10,531 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:10,882 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:11,233 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:11,584 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:11,935 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:12,285 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:12,636 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:12,987 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:13,338 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:13,689 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:14,041 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:14,392 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:14,743 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:15,094 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:15,445 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:15,796 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:16,147 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:16,498 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:16,849 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:17,200 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:17,550 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:17,901 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:18,252 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:18,603 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:18,954 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:19,304 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:19,655 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:20,006 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:20,357 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:20,708 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:21,059 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:21,410 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:21,760 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:22,111 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
2026-05-14 11:58:22,462 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115743.log')}
